Term;Overlap;P.value;Adjusted.P.value;Gene_count;Gene_ratio;Genes
Inflammatory Response (GO:0006954);53/298;2,26042430125088e-14;7,1118235133605e-11;53;0,177852348993289;ORM1;ITGB2;HP;HBB;TREM2;ITGAL;CXCL2;CXCL5;ADGRE5;HYAL1;CCRL2;C3AR1;CD36;IL6R;CAMP;SLC11A1;CYBB;FOS;HBA1;AGTR1;TXNIP;AGTR2;IL6ST;TLR4;MGLL;CCL14;C5AR1;FPR1;FPR2;NLRC4;AIF1;AGER;IL1RL1;C5;SCUBE1;CXCR2;AGR2;CCL2;CCL18;APOL3;CCR1;AOC3;IL33;CCL23;CCL21;PPBP;LYZ;SELE;BMP2;IL6;SIGLEC1;ACKR1;PF4
Positive Regulation of Immune System Process (GO:0002684);21/50;3,90866914721654e-14;7,1118235133605e-11;21;0,42;HLA-DRB5;PLA2G1B;C8B;CFP;AQP3;C2;C3;C5;HLA-DMA;HLA-DMB;C7;HLA-DPB1;HLA-DRA;NCKAP1L;HLA-DOA;HLA-DQA2;HLA-DQB2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
MHC Class II Protein Complex Assembly (GO:0002399);12/16;1,01529217988017e-12;9,23662060645981e-10;12;0,75;HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503);12/16;1,01529217988017e-12;9,23662060645981e-10;12;0,75;HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Regulation of Cell Migration (GO:0030334);66/484;6,52258754605988e-12;4,74713921602238e-09;66;0,136363636363636;SEMA5A;ACVRL1;ROBO4;CSF1;CITED2;FLT4;FAM107A;ADARB1;LDB2;VSIR;CXCL16;CDH5;DACH1;GPER1;KDR;ENPP2;CTSH;PHACTR1;CCN1;EDN1;MYOC;LIMCH1;EMP2;RHOB;FGR;TGFBR3;CLDN5;CLDN3;DAAM2;CEACAM6;RHOJ;MMRN2;PECAM1;MYADM;ENG;HBEGF;CCL14;SEMA3B;SEMA3G;NEDD9;NEXN;AIF1;PODXL;NKX2-1;MGAT3;CCL2;SLIT2;CCL18;SASH1;CCR1;CD74;CCL23;ACE;CCL21;F10;FZD4;CAV1;TBX5;ALOX15B;IGSF10;BMP2;CXCL12;DLC1;CASS4;FERMT2;FERMT3
Positive Regulation of Immune Response (GO:0050778);27/105;9,01973043474529e-12;5,47046650867302e-09;27;0,257142857142857;SASH3;ITGAM;PLA2G1B;ITGB2;FPR2;CFP;C8B;C2;C3;C5;HLA-DMA;HLA-DMB;C7;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;CD74;HLA-DRB5;PTPRC;HLA-DPB1;HLA-DRA;TLR8;IL6ST;HLA-DRB1;HLA-DQB2;HLA-DQB1
Positive Regulation of Cell Migration (GO:0030335);53/349;1,40283613210182e-11;6,88847371081092e-09;53;0,151862464183381;SEMA5A;CSF1;FLT4;FAM107A;ETS1;VSIR;CXCL16;CDH5;GLIPR2;GPER1;KDR;ENPP2;CTSH;CCN1;EDN1;MYOC;ANXA3;PRKCE;RHOB;FGR;CLDN3;DAAM2;CEACAM6;MYADM;PECAM1;PLPP3;HBEGF;CCL14;SEMA3B;SEMA3G;NEDD9;AIF1;RRAS;PODXL;ATOH8;CCL2;NCKAP1L;CCL18;SASH1;CCR1;CCL23;CCL21;F10;ANGPT1;FZD4;CAV1;BMP2;CXCL12;PTPRC;CASS4;TEK;FERMT2;FERMT3
Antigen Processing and Presentation of Exogenous Peptide Antigen (GO:0002478);16/36;1,51436630081031e-11;6,88847371081092e-09;16;0,444444444444444;HLA-DRB5;CTSS;MPEG1;HLA-E;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CTSE;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Antigen Processing and Presentation of Exogenous Peptide Antigen via MHC Class II (GO:0019886);14/27;2,05671433883045e-11;8,3159816433378e-09;14;0,518518518518518;HLA-DRB5;CTSS;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CTSE;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Regulation of ERK1 and ERK2 Cascade (GO:0070372);40/229;6,28624052881122e-11;2,2875629284344e-08;40;0,174672489082969;RAMP3;FLT4;C5AR1;CXCL17;ARRB1;TREM2;FPR2;AGER;ICAM1;RRAS;GLIPR2;GPER1;KDR;FFAR4;CCN2;CD36;CCN1;ROS1;CCR1;CD74;FGA;CCL21;ANGPT1;LMO3;FGG;PLA2G2A;SPRY4;NPNT;SCIMP;MTURN;DUSP6;TGFBR3;MARCO;BMP2;PTPRC;TEK;GAS6;FGFR4;TLR4;FERMT2
