Term;Overlap;P.value;Adjusted.P.value;Gene_count;Gene_ratio;Genes
MHC Class II Protein Complex Binding (GO:0023026);14/27;2,05671433883045e-11;1,45409703755313e-08;14;0,518518518518518;CD74;HLA-DRB5;HLA-DMA;CD4;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Chemokine Receptor Binding (GO:0042379);17/54;2,16984893390291e-09;7,6704159813468e-07;17;0,314814814814815;CCL14;CX3CR1;CCL23;CCL21;CXCL17;PPBP;CXCL3;CXCL2;CXCL5;CXCL16;C3;C5;CXCL12;CCRL2;CCL2;CCL18;PF4
Chemokine Activity (GO:0008009);15/50;3,98693717267275e-08;9,39588193693212e-06;15;0,3;CCL14;CCL23;CCL21;CXCL17;PPBP;CXCL3;CXCL2;CXCL5;CXCL16;C3;C5;CXCL12;CCL2;CCL18;PF4
Cytokine Activity (GO:0005125);30/205;8,45780671055896e-07;0,00014949173360913;30;0,146341463414634;CCL14;CSF3;CSF1;CXCL17;CXCL3;CXCL2;CXCL5;CXCL16;C3;C5;CCL2;CCL18;GDF10;IL33;EDN1;CCL23;CCL21;GDF15;TNFSF12;TNFSF13;LIFR;PPBP;BMP5;BMP3;BMP2;IL6;CXCL12;SCGB3A1;IL6ST;PF4
Cytokine Receptor Activity (GO:0004896);17/86;3,48222616619115e-06;0,000492386779899428;17;0,197674418604651;CX3CR1;CCR1;CD74;CSF3R;FZD4;LIFR;IL1RL1;CD4;CXCR1;CCRL2;IL3RA;LEPR;ACKR4;ACKR1;IL6ST;IL7R;IL6R
Transforming Growth Factor Beta Binding (GO:0050431);8/22;1,26297249635199e-05;0,00148820259153477;8;0,363636363636364;ACVRL1;TGFBR3;HYAL2;LTBP4;CD36;LRRC32;TGFBR2;ENG
Channel Activity (GO:0015267);14/70;2,17364005619856e-05;0,00219537645676054;14;0,2;BCL2A1;AQP9;PRF1;TRPV2;AQP4;AQP5;C8B;AQP3;MPEG1;AQP1;SCNN1G;C5;C7;KCNK3
Lipoprotein Particle Binding (GO:0071813);8/24;2,63328711522618e-05;0,00219666581751599;8;0,333333333333333;COLEC12;MSR1;LPL;TREM2;CD36;LDLR;SCARF1;GPIHBP1
Calcium Ion Binding (GO:0005509);38/342;2,79632140843619e-05;0,00219666581751599;38;0,111111111111111;PLA2G1B;NOTCH4;PRF1;LTBP4;ITLN1;LPL;RASGRP2;AIF1;DUOX1;HPGDS;CLEC3B;CAPN9;SCUBE1;SPOCK2;ENPP2;MAN1A1;SLIT3;SLIT2;TGM2;AOC3;PLA2G4F;TNNC1;PLA2G2A;HPCAL1;ALOX15B;CABCOCO1;SELP;SNTN;PLSCR4;RGN;SPARCL1;ESYT3;ALPL;S100A4;S100A3;LCP1;DNASE1L3;CAPS
MHC Class II Receptor Activity (GO:0032395);6/13;3,26785107364718e-05;0,00231037070906856;6;0,461538461538462;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DPA1;HLA-DQB1
C-C Chemokine Binding (GO:0019957);8/25;3,68722427051031e-05;0,0023698795993189;8;0,32;CX3CR1;CCR1;ZFP36;CXCR1;CCRL2;CXCR2;ACKR4;ACKR1
IgG Binding (GO:0019864);5/10;9,74690048883548e-05;0,00530081434277437;5;0,5;C1QB;C1QA;FCGR2A;FCGRT;C1QC
Immunoglobulin Receptor Activity (GO:0019763);5/10;9,74690048883548e-05;0,00530081434277437;5;0,5;PIGR;FCGR3A;FCER1G;FCGR2A;FCGR3B
Low-density Lipoprotein Particle Binding (GO:0030169);6/17;0,000194988797769123;0,00984693428734072;6;0,352941176470588;COLEC12;MSR1;TREM2;CD36;LDLR;SCARF1
Chemokine Binding (GO:0019956);8/32;0,000254674067955789;0,0120036377363162;8;0,25;CX3CR1;CCR1;ZFP36;CXCR1;CCRL2;CXCR2;ACKR4;ACKR1
BMP Receptor Binding (GO:0070700);5/12;0,00027933055117083;0,0123429187298611;5;0,416666666666667;BMP3;CDH5;BMP2;RSPO2;BMP5
G Protein-Coupled Chemoattractant Receptor Activity (GO:0001637);6/19;0,000388945222580271;0,0161755454331913;6;0,315789473684211;CCR1;CX3CR1;CXCR1;CCRL2;ACKR4;ACKR1
Nuclear Glucocorticoid Receptor Binding (GO:0035259);4/8;0,00052367587089684;0,0196279076178417;4;0,5;NR4A2;NR4A1;NR4A3;TACC1
Cytokine Receptor Binding (GO:0005126);16/115;0,000527482665826015;0,0196279076178417;16;0,139130434782609;CSF3;CSF1;CISH;CCL21;LIFR;VEGFD;SOCS2;TGFBR3;SOCS3;IL6;CXCL12;CCRL2;CCL2;IL6ST;CD300LF;IL6R
Protein Kinase Inhibitor Activity (GO:0004860);11/65;0,000740633180658635;0,0261813829362828;11;0,169230769230769;PREX2;PREX1;SOCS3;PTPRC;GMFG;CAV1;SPRY4;PPP1R1B;MBIP;SH3BP5;RASIP1
Water Channel Activity (GO:0015250);5/15;0,000922687879690805;0,0310638252829238;5;0,333333333333333;AQP9;AQP4;AQP5;AQP3;AQP1
Adenyl Nucleotide Binding (GO:0030554);7/30;0,000969591336042671;0,0311591397537349;7;0,233333333333333;HSD11B1;DUOX1;HPGD;ALDH2;CAT;DPYD;CRYM
Transmembrane Receptor Protein Kinase Activity (GO:0019199);8/39;0,00105987991766909;0,032579787034437;8;0,205128205128205;ACVRL1;FLT4;TIE1;KDR;ROR1;TEK;ROS1;TGFBR2
Receptor Ligand Activity (GO:0048018);41/454;0,00118522066710962;0,0337633549979584;41;0,0903083700440529;SEMA5A;CSF3;SELPLG;CSF1;SEMA3B;CXCL17;SEMA3G;ICAM2;AREG;CLU;ICAM1;C3;DPP4;DLL4;CCL2;CTSG;GDF10;IL33;EDN1;ANGPT1;GDF15;TNFSF12;TNFSF13;VEGFD;LIFR;ADA2;APLN;HLA-E;BMP5;BMP3;BMP2;IL6;MMRN2;PECAM1;SCGB3A1;S100A4;ANG;GAS6;IL6ST;HBEGF;PF4
Chemokine Receptor Activity (GO:0004950);7/31;0,00119389515551479;0,0337633549979584;7;0,225806451612903;CX3CR1;CCR1;CXCR1;CCRL2;CXCR2;ACKR4;ACKR1
Actin Binding (GO:0003779);22/198;0,0012824959824412;0,0348740253686895;22;0,111111111111111;TMOD1;PLEKHH2;ACE;PRKCE;LRRK2;LMOD1;COBL;CGN;SORBS1;SYNE1;PDLIM2;MLPH;PHACTR1;ANG;LCP1;MYOZ1;SYNPO;UTRN;MYH10;SPTBN1;FERMT2;MYO1F
PDZ Domain Binding (GO:0030165);10/60;0,00143776662702253;0,0350574818210404;10;0,166666666666667;TGFBR3;GRIA1;DOCK4;CADM1;TMEM88;FZD4;USHBP1;ARHGAP29;ADRB1;CFTR
Protein Tyrosine Kinase Inhibitor Activity (GO:0030292);4/10;0,00143800137596912;0,0350574818210404;4;0,4;PTPRB;PTPRC;CAV1;HYAL2
Type I Transforming Growth Factor Beta Receptor Binding (GO:0034713);4/10;0,00143800137596912;0,0350574818210404;4;0,4;SMAD6;FERMT2;ENG;TGFBR2
Calcitonin Family Receptor Activity (GO:0097642);3/5;0,00150572822047753;0,0354849950625871;3;0,6;RAMP2;CALCRL;RAMP3
Metal Ion Binding (GO:0046872);46/540;0,00202738185584853;0,0462373861962874;46;0,0851851851851852;PLA2G1B;NOTCH4;LRRK2;MT1M;ITLN1;PRF1;LTBP4;LPL;NLRC4;RASGRP2;AIF1;DUOX1;HPGDS;CLEC3B;CAPN9;SCUBE1;SPOCK2;ENPP2;MAN1A1;SLIT3;TPPP;SLIT2;TGM2;AOC3;PLA2G4F;TNNC1;PDE2A;PLA2G2A;HPCAL1;ALOX15B;CABCOCO1;SELP;MT1A;SNTN;ADPRH;PLSCR4;RGN;SPARCL1;ESYT3;ALPL;S100A4;S100A3;LCP1;DNASE1L3;FBP1;CAPS
Complement Receptor Activity (GO:0004875);4/11;0,00216221667879369;0,0463238543002163;4;0,363636363636364;C5AR1;C3AR1;FPR1;FPR2
