Term;Overlap;P.value;Adjusted.P.value;Gene_count;Gene_ratio;Genes
STAPHYLOCOCCUS AUREUS INFECTION;29/95;1,1839866523941e-14;2,52570692905855e-12;29;0,305263157894737;C1QB;C1QA;ITGAM;SELPLG;ITGB2;C5AR1;CFI;FPR1;FPR2;ITGAL;ICAM1;C3;C5;HLA-DMA;FCGR3B;HLA-DMB;C3AR1;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DRB5;FGG;FCGR2A;SELENOP;HLA-DRA;HLA-DQB2;HLA-DRB1;C1QC
CELL ADHESION MOLECULE (CAM) INTERACTION;37/155;1,66713328650729e-14;2,52570692905855e-12;37;0,238709677419355;ITGAM;SELPLG;ITGB2;ICAM2;PTPRM;ITGAL;VSIR;ICAM1;CDH5;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DQA2;CD34;HLA-DQA1;JAM2;HLA-DPA1;HLA-DRB5;CADM1;SELE;HLA-E;CLDN5;OCLN;CD4;CLDN3;PTPRC;JAML;SELENOP;PECAM1;ITGA8;HLA-DRA;CLDN18;ESAM;SIGLEC1;HLA-DRB1;HLA-DQB2;ITGA9
COMPLEMENT AND COAGULATION CASCADES;27/87;6,19080257109868e-14;6,25271059680967e-12;27;0,310344827586207;C1QB;C1QA;CPB2;SERPINA1;ITGAM;PROS1;ITGB2;C5AR1;CFI;C4BPA;C8B;TFPI;CLU;C3;C5;C3AR1;VSIG4;A2M;CD55;FGA;VWF;SERPIND1;FGG;F8;SERPING1;F2RL3;C1QC
RHEUMATOID ARTHRITIS;26/92;2,05712740604957e-12;1,55827401008255e-10;26;0,282608695652174;CSF1;ITGB2;ITGAL;CXCL3;CXCL2;CXCL5;ICAM1;HLA-DMA;HLA-DMB;ACP5;CCL2;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DRB5;ANGPT1;TNFSF13;FOS;IL6;CXCL12;HLA-DRA;TEK;TLR4;HLA-DQB2;HLA-DRB1
HEMATOPOIETIC CELL LINEAGE;26/97;7,82102730421453e-12;4,73954254635401e-10;26;0,268041237113402;CSF3;CSF3R;ITGAM;CSF1;CD1C;HLA-DMA;HLA-DMB;ANPEP;CD37;CD36;HLA-DOA;IL6R;HLA-DQA2;CD34;HLA-DQA1;CD55;HLA-DPA1;HLA-DRB5;ITGA1;IL6;CD4;IL3RA;HLA-DRA;IL7R;HLA-DRB1;HLA-DQB2
VIRAL MYOCARDITIS;21/68;4,23404008876713e-11;2,1381902448274e-09;21;0,308823529411765;HLA-DRB5;CAV1;ITGB2;ITGAL;RNASE1;ICAM1;HLA-E;SGCE;HLA-DMA;HLA-DMB;SGCA;HLA-DRA;HLA-DOA;HLA-DQA2;SGCG;HLA-DQB2;CD55;HLA-DQA1;SNTB1;HLA-DRB1;HLA-DPA1
PHAGOSOME;31/151;1,41044243423216e-10;6,10520082246204e-09;31;0,205298013245033;COLEC12;ITGAM;SFTPA2;NCF2;NCF4;ITGB2;CTSS;C3;HLA-DMA;FCGR3B;HLA-DMB;MRC1;OLR1;CD36;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;MSR1;HLA-DRB5;SFTPD;CYBB;RNASE1;HLA-E;MARCO;FCGR2A;HLA-DRA;SFTPA1;TLR4;HLA-DRB1;HLA-DQB2
LEISHMANIASIS;21/76;4,30979011077889e-10;1,6323330044575e-08;21;0,276315789473684;HLA-DRB5;ITGAM;NCF2;NCF4;ITGB2;CYBB;FOS;PTGS2;C3;HLA-DMA;FCGR3B;HLA-DMB;FCGR2A;HLA-DRA;HLA-DOA;TLR4;HLA-DQA2;HLA-DQB2;HLA-DQA1;HLA-DRB1;HLA-DPA1
ASTHMA;13/30;1,85269682104482e-09;6,2374126308509e-08;13;0,433333333333333;HLA-DRB5;FCER1G;HLA-DMA;HLA-DMB;FCER1A;HLA-DRA;HLA-DOA;MS4A2;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1
MALARIA;16/50;4,93175499539744e-09;1,49432176360542e-07;16;0,32;CSF3;GYPC;ITGB2;HBB;HBA2;HBA1;ITGAL;SELE;ICAM1;IL6;SELENOP;PECAM1;CCL2;CD36;ACKR1;TLR4
