Term;Overlap;P.value;Adjusted.P.value;Gene_count;Gene_ratio;Genes
Mitotic Sister Chromatid Segregation (GO:0000070);40/128;3,67197659300616e-25;1,04614613134745e-21;40;0,3125;UHRF1;NCAPG2;KIF14;CDCA8;NCAPG;KIF11;SKA3;SMC4;CENPA;NCAPH;SKA1;AURKB;SMC2;KIF15;CCNB1;CHEK2;NUSAP1;KNTC1;CEP55;DLGAP5;SPAG5;PLK1;KIF23;KNL1;KIF22;TUBG1;KNSTRN;NDC80;ZWINT;TPX2;CENPE;KIF18B;ESPL1;INCENP;KIFC1;CENPI;PRC1;BIRC5;KIF2C;NCAPD2
Mitotic Spindle Organization (GO:0007052);30/96;3,41065459976094e-19;4,85847747735946e-16;30;0,3125;INTS13;UHRF1;CDCA8;TTK;KIF11;AURKB;KIF15;AURKA;CCNB1;CHEK2;NUF2;STMN1;RCC1;DLGAP5;STIL;PLK1;KIF23;TUBG1;CKAP5;NDC80;CENPE;TPX2;CENPH;INCENP;KIFC1;PRC1;KIF4A;TACC3;BIRC5;SPC25
Epidermis Development (GO:0008544);28/87;2,17966117044152e-18;2,06995155819596e-15;28;0,32183908045977;COL17A1;SPRR2E;SPRR2F;SPRR3;SPRR2G;CALML5;CRABP2;BNC1;LAMC2;PTHLH;SPRR2D;CERS3;DSP;KRTDAP;GRHL3;KRT5;KRT31;OVOL1;GRHL1;FOXN1;COL7A1;KRT15;GJB5;KRT14;SPRR1A;SPRR1B;S100A7;ZNF750
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850);24/64;1,01322673599332e-17;7,21670742711243e-15;24;0,375;INTS13;STIL;PLK1;TTK;KIF11;TUBG1;CKAP5;AURKB;NDC80;AURKA;CENPE;CCNB1;ESPL1;CENPH;KIF4A;NUF2;STMN1;NUSAP1;CDK1;TACC3;RCC1;BIRC5;DLGAP5;SPC25
Sister Chromatid Segregation (GO:0000819);19/37;1,86387468986914e-17;1,06203579828744e-14;19;0,513513513513513;TOP2A;SPAG5;NCAPG2;PLK1;CDCA8;KNL1;SKA3;TUBG1;SMC4;KNSTRN;SKA1;NDC80;ZWINT;KIF18B;ESPL1;CENPI;KIFC1;NUSAP1;KNTC1
Mitotic Nuclear Division (GO:0140014);21/49;4,26830429756074e-17;2,02673315729176e-14;21;0,428571428571429;SPAG5;UBE2C;NDE1;NCAPG2;PLK1;CDCA8;KNL1;TUBG1;SKA3;SMC4;KNSTRN;SKA1;NDC80;ZWINT;KIF18B;ESPL1;KIFC1;CENPI;UBE2S;NUSAP1;KNTC1
DNA Metabolic Process (GO:0006259);51/336;1,61330768575046e-16;6,56616228100435e-14;51;0,151785714285714;TOP2A;FEN1;ERCC6L;MCM7;MCM8;DSCC1;NUDT1;HMGB2;HMGB3;MCM10;CHTF18;EME1;EXO1;CHEK1;PCLAF;TOPBP1;KPNA2;DSP;RFC5;WDHD1;RMI2;RFC4;NME1;TIMELESS;MCM4;MCM5;MCM6;MCM2;BLM;RNASEH2A;PRKDC;TYMS;RECQL4;RAD51AP1;ORC6;CDC45;ORC1;RAD54L;GINS1;GINS2;POLQ;RRM1;RRM2;XRCC2;GINS4;CDC6;FANCG;TICRR;RAD51;UBE2T;CDK1
Skin Development (GO:0043588);24/72;2,37492094557234e-16;8,45768721741949e-14;24;0,333333333333333;CERS3;DSP;SPRR2F;SPRR3;CSTA;SPRR2G;ST14;JAG1;ITGB4;KRT10;ABCA12;GRHL2;COL1A1;COL3A1;COL1A2;COL5A1;KRT16;COL5A2;KRT14;ITGA6;SPRR1A;IVL;SPRR1B;S100A7
Spindle Assembly Checkpoint Signaling (GO:0071173);16/28;6,78204099390671e-16;1,75654861742184e-13;16;0,571428571428571;ZWILCH;PLK1;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;BIRC5;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094);16/28;6,78204099390671e-16;1,75654861742184e-13;16;0,571428571428571;ZWILCH;PLK1;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;BIRC5;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
