Term;Overlap;P.value;Adjusted.P.value;Gene_count;Gene_ratio;Genes
Single-stranded DNA Helicase Activity (GO:0017116);11/22;1,77408284343495e-10;1,05380520900036e-07;11;0,5;RFC5;POLQ;RFC4;MCM7;MCM8;DSCC1;MCM4;MCM5;MCM6;CHTF18;MCM2
Microtubule Binding (GO:0008017);33/250;1,57524197525941e-09;4,67846866652043e-07;33;0,132;KIF14;SKA3;NDRG1;SKA1;KIF15;RACGAP1;OPA1;NUF2;NUSAP1;KIF3C;GTSE1;DLGAP5;SPAG5;RCC2;NDE1;PLK1;KIF23;KNL1;KIF22;KNSTRN;CKAP5;NDC80;CENPE;KIF18B;KIFC1;PRC1;GJB6;TRPV4;BIRC5;KIF2C;KIF20A;GAPDH;SPC24
Tubulin Binding (GO:0015631);38/332;5,46966548760066e-09;1,08299376654493e-06;38;0,114457831325301;KIF14;SKA3;NDRG1;SKA1;KIF15;PAK1;RACGAP1;OPA1;STMN1;NUF2;NUSAP1;NEFL;KIF3C;GTSE1;DLGAP5;CCT5;SPAG5;RCC2;NDE1;PLK1;KIF23;KNL1;KIF22;CKAP5;NDC80;CENPE;KIF18B;KIFC1;PRC1;GJB6;TRPV4;BIRC5;KIF2C;HDGF;KIF20A;GAPDH;SPC24;CDK5R1
Cell Adhesive Protein Binding Inv in Bundle of His cell-Purkinje Myocyte Communication (GO:0086083);5/5;9,9276291266859e-08;1,47425292531286e-05;5;1;DSP;JUP;PKP2;DSG2;DSC2
Single-stranded DNA Binding (GO:0003697);15/100;9,60174060191187e-06;0,00114068678350713;15;0,15;BLM;MCM7;MCM8;HMGB2;MCM10;HSPD1;RAD51AP1;RECQL4;CDC45;RAD51;MCM4;MCM5;MCM6;POLR2H;MCM2
Protein Binding Involved in Heterotypic Cell-Cell Adhesion (GO:0086080);5/10;2,11606153036354e-05;0,0020949009150599;5;0,5;DSP;JUP;PKP2;DSG2;DSC2
Metal Ion Binding (GO:0046872);42/540;3,01149676991385e-05;0,00247592986597544;42;0,0777777777777778;TOP2A;FEN1;TTYH3;CALML5;CIB2;CALML3;LOXL2;OPA1;S100A16;FIGNL1;NCS1;SPP1;SPOCK1;ANXA8;XXYLT1;PSPH;MARK1;POLQ;POSTN;S100A2;EYA2;IGFBP3;PLK1;HSPE1;YDJC;NME1;MMP12;GJB2;GCLC;MMP13;MELK;CABYR;NUDT8;VSNL1;MTHFD2;DSG2;HPRT1;DSG3;DSC2;DSC3;S100A7;CDK5R1
3'-5' DNA Helicase Activity (GO:0043138);6/17;3,3345856780814e-05;0,00247592986597544;6;0,352941176470588;RECQL4;BLM;MCM8;MCM5;MCM6;MCM2
DNA Secondary Structure Binding (GO:0000217);8/35;5,54746090532708e-05;0,00350464179664031;8;0,228571428571429;RAD51AP1;RECQL4;BLM;XRCC2;HMGB2;HMGA1;HMGB3;CLSPN
Serine-type Peptidase Activity (GO:0008236);19/173;6,35401036388145e-05;0,00350464179664031;19;0,109826589595376;TMPRSS11A;ST14;MMP1;F12;MMP3;TMPRSS4;CTSV;TMPRSS11E;KLK8;MMP9;MMP10;KLK6;TMPRSS11D;FAM111B;MMP12;MMP11;MMP14;MMP13;PLAU
