sample;condition;lung_identity_score
TCGA-39-5040-01A-21R-2125-07;Tumor;4,28496332455306
TCGA-56-8309-01A-11R-2296-07;Tumor;6,17268803341337
TCGA-22-5489-01A-01R-1635-07;Tumor;5,77356367049467
TCGA-58-8386-01A-11R-2296-07;Tumor;7,3422718479944
TCGA-22-5483-01A-01R-1820-07;Tumor;1,89575096329403
TCGA-43-6773-01A-41R-1949-07;Tumor;6,05046351303399
TCGA-43-7658-01A-11R-2125-07;Tumor;4,74529752861066
TCGA-77-8007-01A-11R-2187-07;Tumor;2,79445510723319
TCGA-56-7580-01A-11R-2045-07;Tumor;2,57074278829063
TCGA-56-7222-01A-11R-2045-07;Tumor;6,25199303152476
TCGA-22-5481-01A-31R-1949-07;Tumor;2,717251220607
TCGA-77-7335-01A-11R-2045-07;Tumor;2,72231808596068
TCGA-22-4593-01A-21R-1820-07;Tumor;1,78263602086862
TCGA-43-6143-01A-11R-1820-07;Tumor;2,63420415757099
TCGA-56-7579-01A-11R-2045-07;Tumor;2,68562202150469
TCGA-77-8008-01A-21R-2187-07;Tumor;2,98872017869348
TCGA-56-8082-01A-11R-2247-07;Tumor;6,36430450579779
TCGA-56-7731-01A-11R-2125-07;Tumor;8,30214282063119
TCGA-43-7657-01A-31R-2125-07;Tumor;0,926281629761836
TCGA-51-4079-01A-01R-1100-07;Tumor;6,19022703122844
TCGA-56-8083-01A-11R-2247-07;Tumor;4,89275257003449
TCGA-77-7138-01A-41R-2045-07;Tumor;3,7307246940918
TCGA-77-7338-01A-11R-2045-07;Tumor;5,79928581005181
TCGA-33-4587-01A-11R-2125-07;Tumor;1,83642879466421
TCGA-33-6737-01A-11R-1820-07;Tumor;5,59590079448408
TCGA-60-2709-01A-21R-1820-07;Tumor;6,37952450409702
TCGA-77-7142-01A-11R-2045-07;Tumor;7,17766611255781
TCGA-56-7823-01B-11R-2247-07;Tumor;1,91329395740867
TCGA-22-5482-01A-01R-1635-07;Tumor;1,15108227003227
TCGA-56-7582-01A-11R-2045-07;Tumor;0,671672450929943
TCGA-51-4081-01A-01R-1100-07;Tumor;1,39198999313958
TCGA-92-7340-01A-21R-2045-07;Tumor;5,07578156247153
TCGA-22-5491-01A-01R-1635-07;Tumor;2,53251146483387
TCGA-43-6771-01A-11R-1820-07;Tumor;0,771327103960317
TCGA-85-7710-01A-11R-2125-07;Tumor;3,96920698331868
TCGA-34-7107-01A-11R-1949-07;Tumor;2,94292148693245
TCGA-43-6647-01A-11R-1820-07;Tumor;2,50338240141562
TCGA-56-7730-01A-11R-2125-07;Tumor;5,93510367100403
TCGA-22-5478-01A-01R-1635-07;Tumor;6,19438248185686
TCGA-34-8454-01A-11R-2326-07;Tumor;5,52867328173939
TCGA-43-5670-01A-21R-2125-07;Tumor;1,35234073943464
