"microRNA","p-value","FDR","Odd ratio","Number of interactions","Target Gene 1","Target Gene 2","Target Gene 3","Target Gene 4","Target Gene 5","Target Gene 6","Target Gene 7","Target Gene 8","Target Gene 9","Target Gene 10","Target Gene 11","Target Gene 12","Target Gene 13","Target Gene 14","Target Gene 15","Target Gene 16","Target Gene 17","Target Gene 18","Target Gene 19","Target Gene 20","Target Gene 21","Target Gene 22","Target Gene 23","Target Gene 24","Target Gene 25","Target Gene 26","Target Gene 27","Target Gene 28","Target Gene 29","Target Gene 30","Target Gene 31","Target Gene 32","Target Gene 33","Target Gene 34","Target Gene 35","Target Gene 36","Target Gene 37","Target Gene 38","Target Gene 39","Target Gene 40","Target Gene 41","Target Gene 42","Target Gene 43","Target Gene 44","Target Gene 45","Target Gene 46","Target Gene 47","Target Gene 48","Target Gene 49","Target Gene 50","Target Gene 51","Target Gene 52","Target Gene 53","Target Gene 54","Target Gene 55","Target Gene 56","Target Gene 57","Target Gene 58","Target Gene 59","Target Gene 60","Target Gene 61","Target Gene 62","Target Gene 63","Target Gene 64","Target Gene 65","Target Gene 66","Target Gene 67","Target Gene 68","Target Gene 69","Target Gene 70","Target Gene 71","Target Gene 72","Target Gene 73","Target Gene 74","Target Gene 75","Target Gene 76","Target Gene 77","Target Gene 78","Target Gene 79","Target Gene 80","Target Gene 81","Target Gene 82","Target Gene 83","Target Gene 84","Target Gene 85","Target Gene 86","Target Gene 87","Target Gene 88","Target Gene 89","Target Gene 90","Target Gene 91","Target Gene 92","Target Gene 93","Target Gene 94","Target Gene 95","Target Gene 96","Target Gene 97","Target Gene 98","Target Gene 99","Target Gene 100","Target Gene 101","Target Gene 102","Target Gene 103","Target Gene 104","Target Gene 105","Target Gene 106","Target Gene 107","Target Gene 108","Target Gene 109","Target Gene 110","Target Gene 111","Target Gene 112","Target Gene 113","Target Gene 114","Target Gene 115","Target Gene 116","Target Gene 117","Target Gene 118","Target Gene 119","Target Gene 120"
"hsa-miR-193b-3p","1.08e-31","2.60e-28","0.309","120","PLAU","SHMT2","AKR1C2","KIF22","OIP5","BASP1","RFC5","RRM2","ORC6","CENPU","KRT19","UBE2C","FANCI","EXO1","CDC25A","MCM10","KNTC1","TEDC2","HELLS","RACGAP1","CLSTN1","STMN1","PKMYT1","TRIP13","RFC4","NDC80","TK1","GJB2","ECT2","NCAPG","FANCE","SKA1","AUNIP","KIF11","CDC20","BUB1B","MELK","NCAPH","CHAF1B","GINS2","POLQ","FANCG","CDCA7","HPRT1","PLEK2","TNFRSF21","RECQL4","CDK1","KPNA2","SHCBP1","CHTF18","EZH2","PCLAF","ASF1B","CDCA2","SIX1","MND1","DSCC1","TOP2A","ASPM","TYMS","CDCA5","TICRR","NCAPD2","SULF2","CHEK1","SLC7A5","CKAP2L","MCM5","MCM7","CDC6","PCNA","E2F1","S100A16","RCC1","CDT1","APOBEC3B","EFS","ARHGAP11A","MCM8","CCNA2","SPC25","KIF15","TACC3","ZWINT","GMNN","CDCA4","E2F2","RAD51","BLM","ESPL1","FEN1","MCM6","MCM4","TUBB","TENM4","YDJC","TPI1","LMNB1","GPI","LMNB2","UCHL1","RHOV","SKA3","NRARP","TPX2","ATAD2","TRIM16L","HDGF","SLC25A10","PFKP","SNRPB","SPTBN2","TTLL12","RUVBL1","PMAIP1","RGMA","TSKU","BUB1","PPIF"
"hsa-miR-215-5p","1.78e-12","2.14e-9","0.426","77","ATAD2","ARHGAP11A","MKI67","DTL","MCM10","PIGX","CENPA","KIF15","PLAU","LMNB1","DEPDC1","FERMT1","NCAPH","LMNB2","SLC7A11","RACGAP1","MELTF","SKA1","FEN1","CENPI","CCNE1","RFC4","HJURP","OPA1","SRD5A1","UNG","PPAT","KIF14","SMC2","KNL1","CENPE","KIF23","FAM83D","CKAP4","CDKN3","EME1","CENPF","NMU","DLG5","SMC4","NUF2","BUB1B","TRIP13","MAD2L1","RAD51","HMMR","CDC20","CYP24A1","ECT2","NDE1","ASPM","TROAP","KIF20A","KIFC1","PLK4","CKAP2L","DLGAP5","ORC1","CEP55","TOPBP1","STIL","CDCA4","PERP","SLC1A4","TICRR","TMTC3","CLSPN","CIB2","ERCC6L","MCM6","TTK","CLSTN1","BLM","ANLN","CDKN2A","E2F8","RHCG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-192-5p","1.12e-9","8.97e-7","0.508","85","LOXL2","PERP","RRM1","DLG5","DTL","LMNB2","MAD2L1","MCM10","RACGAP1","FANCI","CDC25A","FERMT1","PLK4","MELTF","ERCC6L","HMMR","GRHL1","PLAU","CLSTN1","SMC2","CCNE1","CENPE","NUF2","CLSPN","OPA1","CEP55","SLC1A4","SKA1","CDC20","BUB1B","TOPBP1","KNL1","MKI67","NCAPH","CKAP4","POLQ","TTK","ASPM","HJURP","CYP24A1","RFC4","CENPF","FAM83D","DEPDC1","STIL","ECT2","TRIP13","CKAP2L","TICRR","NDE1","CENPA","SMC4","CENPI","ANLN","UNG","EME1","LMNB1","CDKN2A","KIF23","SLC7A11","TMTC3","CDKN3","E2F8","ORC1","NMU","CDCA4","KIF15","MCM6","BLM","OVOL1","ARHGAP11A","DLGAP5","PIGX","FEN1","FAM111B","CIB2","PPAT","KIF20A","ATAD2","SRD5A1","RAD51","TROAP","KIF14","RCC2","RHCG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-34a-5p","0.00000795","0.00479","0.552","58","JAG1","CDC25C","CDC25A","MAGEA6","MAGEA3","E2F1","SOX2","ULBP2","BMP7","KIF4A","DSP","UHRF1","RRM2","UBE2S","ITGA6","ERCC6L","KIF11","CAD","MCM4","KIF2C","MKI67","HPRT1","NCAPG","FXR1","MCM2","NDRG1","PUS7","CDC20","IGF2BP3","LDHA","MCM7","CKAP5","S100A2","FEN1","GPI","TYMS","PKP2","DTYMK","MCM5","TTLL12","MCM6","CDKN2A","PYCR1","UCK2","SFN","OPA1","CCT3","MCM10","CSE1L","CD24","BIRC5","ITGA11","STMN1","RAD51","TNFRSF21","TP73","BIK","CRABP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-29b-3p","0.0000100","0.00482","0.405","28","COL1A1","DNAJB11","COL3A1","ADAM12","CLDN1","MKI67","COL7A1","COL4A6","SOX12","TMTC3","ULBP2","LAMC2","ITGA6","COL5A2","COL10A1","DSC2","MMP9","LOXL2","SLC16A1","HDGF","CCNA2","C1QTNF6","RAET1L","FSCN1","FJX1","CBX2","COL5A1","THBS2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-29c-3p","0.0000170","0.00681","0.409","27","COL3A1","COL1A1","COL1A2","GAPDH","COL7A1","TFAP2C","OIP5","BCL11A","TMTC3","HDGF","MTHFD2","RCC2","TMEM132A","ULBP2","LAMC2","ITGA6","COL5A2","COL10A1","DSC2","SLC16A1","CCNA2","C1QTNF6","RAET1L","FSCN1","FJX1","CBX2","ADAM12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-4492","0.0000564","0.0151","0.323","16","CCNF","TSKU","CDCA8","SPTBN2","ANKRD13B","ZNF703","BARX2","COL1A1","DLG5","FSCN1","NECTIN1","PKM","SLC7A1","MDK","MYBL2","ORC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-4498","0.0000564","0.0151","0.323","16","CCNF","TSKU","CDCA8","SPTBN2","ANKRD13B","ZNF703","BARX2","COL1A1","DLG5","FSCN1","NECTIN1","PKM","SLC7A1","MDK","MYBL2","ORC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-5001-5p","0.0000564","0.0151","0.323","16","CCNF","TSKU","CDCA8","SPTBN2","ANKRD13B","ZNF703","BARX2","COL1A1","DLG5","FSCN1","NECTIN1","PKM","SLC7A1","MDK","MYBL2","ORC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-let-7b-5p","0.0000660","0.0159","0.652","81","UHRF1","TYMS","SLC1A4","HMGA1","DSP","AURKB","CDC25A","CCNA2","SOX9","RRM2","AURKA","CDCA7","CCNF","NCAPG2","ALG3","MGME1","GGCT","IGF2BP2","NUP155","HELLS","DSG2","MRPL47","CHAF1A","IGSF3","IGF2BP3","POLR2H","PAFAH1B3","CA12","TPBG","RAB38","ANXA8","CDCA8","TMTC3","UCK2","TTLL12","LSG1","ABCC1","ERO1A","CCNB1","PAK1","CCNB2","CLCA2","NCAPD2","KIFC1","TUBB","PLK1","PTGFRN","JAG1","WASF1","BIRC5","FEN1","SPTBN2","NUSAP1","GAPDH","PTTG1","YEATS2","GPI","MCM4","E2F7","CKAP2","TUBA1C","BMP7","CKS2","MCM7","NDRG1","COL3A1","ESPL1","MAPK6","CTHRC1","RRM1","PMAIP1","SLC5A6","AK4","DVL3","BRI3BP","LGR4","EZH2","E2F2","MARCKSL1","MAGEA3","MAGEA6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-6813-5p","0.0000763","0.0167","0.268","12","SOX4","MLLT11","FSCN1","ANKRD13B","SLC5A6","MCM7","DLG5","LMNB2","NECTIN1","PKM","SLC7A5","MYBL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-762","0.0000845","0.0170","0.334","16","CCNF","TSKU","CDCA8","SPTBN2","ANKRD13B","ZNF703","BARX2","COL1A1","DLG5","FSCN1","NECTIN1","PKM","SLC7A1","MDK","MYBL2","ORC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-423-5p","0.0000980","0.0182","0.481","31","MYBL2","NDE1","CDKN2A","NDRG1","ABCC5","PAK1","LMNB2","MICALL1","DLX5","CLSTN1","FKBP4","CLSPN","PTTG1","GAPDH","CCNF","FAM83H","PKM","TUBB","B4GALNT4","SOX12","MEX3A","GPRIN1","ANKRD13B","SLC5A6","MCM7","NCS1","RRM2","HDGF","MCM5","NECTIN1","TTLL12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-6085","0.000129","0.0222","0.283","12","SOX4","MLLT11","FSCN1","ANKRD13B","SLC5A6","MCM7","DLG5","LMNB2","NECTIN1","PKM","SLC7A5","MYBL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hsa-miR-6858-5p","0.000179","0.0288","0.356","16","HOXC13","XPOT","WNT7B","SLC7A1","HMGB3","ANKRD13B","CELSR2","CKAP2L","LMNB1","CLDN1","LMNB2","NECTIN1","PLK1","S100A16","MYBL2","ADAM12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
