;TCGA-39-5040-01A-21R-2125-07;TCGA-56-8309-01A-11R-2296-07;TCGA-22-5489-01A-01R-1635-07;TCGA-58-8386-01A-11R-2296-07;TCGA-22-5483-01A-01R-1820-07;TCGA-43-6773-01A-41R-1949-07;TCGA-43-7658-01A-11R-2125-07;TCGA-77-8007-01A-11R-2187-07;TCGA-56-7580-01A-11R-2045-07;TCGA-56-7222-01A-11R-2045-07;TCGA-22-5481-01A-31R-1949-07;TCGA-77-7335-01A-11R-2045-07;TCGA-22-4593-01A-21R-1820-07;TCGA-43-6143-01A-11R-1820-07;TCGA-56-7579-01A-11R-2045-07;TCGA-77-8008-01A-21R-2187-07;TCGA-56-8082-01A-11R-2247-07;TCGA-56-7731-01A-11R-2125-07;TCGA-43-7657-01A-31R-2125-07;TCGA-51-4079-01A-01R-1100-07;TCGA-56-8083-01A-11R-2247-07;TCGA-77-7138-01A-41R-2045-07;TCGA-77-7338-01A-11R-2045-07;TCGA-33-4587-01A-11R-2125-07;TCGA-33-6737-01A-11R-1820-07;TCGA-60-2709-01A-21R-1820-07;TCGA-77-7142-01A-11R-2045-07;TCGA-56-7823-01B-11R-2247-07;TCGA-22-5482-01A-01R-1635-07;TCGA-56-7582-01A-11R-2045-07;TCGA-51-4081-01A-01R-1100-07;TCGA-92-7340-01A-21R-2045-07;TCGA-22-5491-01A-01R-1635-07;TCGA-43-6771-01A-11R-1820-07;TCGA-85-7710-01A-11R-2125-07;TCGA-34-7107-01A-11R-1949-07;TCGA-43-6647-01A-11R-1820-07;TCGA-56-7730-01A-11R-2125-07;TCGA-22-5478-01A-01R-1635-07;TCGA-34-8454-01A-11R-2326-07;TCGA-43-5670-01A-21R-2125-07;TCGA-90-7767-01A-11R-2125-07;TCGA-56-8201-01A-11R-2247-07;TCGA-22-5472-01A-01R-1635-07;TCGA-90-6837-01A-11R-1949-07;TCGA-22-5471-01A-01R-1635-07;TCGA-77-7337-01A-21R-2045-07;TCGA-22-4609-01A-21R-2125-07;TCGA-56-8623-01A-11R-A28V-07;TCGA-39-5040-11A-01R-2125-07;TCGA-56-8309-11A-01R-2296-07;TCGA-22-5489-11A-01R-1635-07;TCGA-58-8386-11A-01R-2296-07;TCGA-22-5483-11A-11R-1820-07;TCGA-43-6773-11A-01R-1949-07;TCGA-43-7658-11A-01R-2125-07;TCGA-77-8007-11A-01R-2187-07;TCGA-56-7580-11A-01R-2045-07;TCGA-56-7222-11A-01R-2045-07;TCGA-22-5481-11A-01R-1949-07;TCGA-77-7335-11A-01R-2045-07;TCGA-22-4593-11A-01R-1820-07;TCGA-43-6143-11A-01R-1820-07;TCGA-56-7579-11A-01R-2045-07;TCGA-77-8008-11A-01R-2187-07;TCGA-56-8082-11A-01R-2247-07;TCGA-56-7731-11A-01R-2125-07;TCGA-43-7657-11A-01R-2125-07;TCGA-51-4079-11A-01R-1758-07;TCGA-56-8083-11A-01R-2247-07;TCGA-77-7138-11A-01R-2045-07;TCGA-77-7338-11A-01R-2045-07;TCGA-33-4587-11A-01R-2125-07;TCGA-33-6737-11A-01R-1820-07;TCGA-60-2709-11A-01R-1820-07;TCGA-77-7142-11A-01R-2045-07;TCGA-56-7823-11A-01R-2247-07;TCGA-22-5482-11A-01R-1635-07;TCGA-56-7582-11A-01R-2045-07;TCGA-51-4081-11A-01R-1758-07;TCGA-92-7340-11A-01R-2045-07;TCGA-22-5491-11A-01R-1858-07;TCGA-43-6771-11A-01R-1820-07;TCGA-85-7710-11A-01R-2125-07;TCGA-34-7107-11A-01R-1949-07;TCGA-43-6647-11A-01R-1820-07;TCGA-56-7730-11A-01R-2125-07;TCGA-22-5478-11A-11R-1635-07;TCGA-34-8454-11A-01R-2326-07;TCGA-43-5670-11A-01R-2125-07;TCGA-90-7767-11A-01R-2125-07;TCGA-56-8201-11A-01R-2247-07;TCGA-22-5472-11A-11R-1635-07;TCGA-90-6837-11A-01R-1949-07;TCGA-22-5471-11A-01R-1635-07;TCGA-77-7337-11A-01R-2045-07;TCGA-22-4609-11A-01R-2125-07;TCGA-56-8623-11A-01R-A28V-07
FGR|ENSG00000000938;1,39231691549412;4,35299067824587;2,55219803224706;3,51174467556111;2,1578718771363;2,99045790252525;2,20969858240395;4,07573692255732;1,86173863369873;1,81389459040585;1,76648024078295;3,60387046960791;1,12665575452875;3,40172140717024;2,51918194626501;2,65821995283808;1,79394892861945;3,23753440714025;1,50190639687838;1,77538550177927;1,47193390460845;1,28174729931205;2,37148325526468;1,68933088020637;2,67967636239847;4,62370308241006;2,3801039789318;1,37615245105747;1,23277863054088;2,03584900458942;1,25733887223105;2,36906435507098;1,16552759750897;1,26220967665158;2,0098275556391;1,94706019375521;2,68119513775527;1,27982181897951;2,00762104723639;3,21833074569538;1,37023207687983;1,65731318379131;3,52103955693874;3,09019156385217;3,50086710657147;2,32152158257057;1,93219824949446;3,37028206242711;5,27515887475409;4,66688750075088;5,46375310529666;4,29543540979969;4,73788422870223;4,07808933600214;5,35221499372206;4,55289582725693;4,35046973720871;4,59888501307268;5,40400564490728;4,79996531137638;3,7812619573098;4,95046968996883;4,95489504580076;4,92059134203933;4,92586581410624;5,35429294100907;5,41752176747522;4,1180476391315;3,90074770354964;4,60647339089628;4,65536852844952;3,80776613724214;4,37439801244178;4,150954129051;5,41322724011445;4,54263777507987;4,12164194839185;4,40945949016877;4,15606924722799;5,18151158605708;4,66264610445464;3,97694173434801;5,09299469927255;5,01211898888564;4,57887783750308;5,05190747700461;4,64303711690149;4,85626208007576;4,82292675058988;4,65312548594573;4,29343958806892;5,14325934718601;4,45287826657292;4,07406355563071;4,662688357279;4,50333360449314;4,12952336874569;4,9749509959391
GCLC|ENSG00000001084;2,40671092799562;3,75287998144338;2,80723942853651;3,32083443896034;5,36417420352268;6,58037834284449;2,32633538497712;4,41916924949192;5,14768712506143;4,76371751475277;3,4641692199679;2,58181649502165;2,98982800962185;5,37566607869902;5,28460716317623;2,65834001574216;4,45209030648579;3,47863814403895;4,92673550764494;7,08725690508872;2,45259731777974;2,66621053812112;5,89491196396571;3,11533786318069;3,97274675931911;5,88423197274402;3,46313915356005;6,1242462237942;6,23482888620935;6,89816807831866;6,30957066720691;3,47400006064385;5,12209893864675;0,410588199323075;2,36593061657418;4,87613605994488;2,72861086645133;6,13601329216658;2,35963879831925;4,06525212919895;2,50201647081447;3,47779443037079;3,54551813418106;3,84906048530609;2,60343656873346;4,61200150838259;3,56777192236512;3,0185380114556;2,3977461878211;1,58035430145381;3,50180636500924;1,89615985738686;1,78787081681006;1,20334763801032;2,65621106125449;2,13526933358901;2,3638108517291;2,03252227124744;1,84958545226826;1,74596502996771;1,72242440969531;1,69891704198554;1,8738317335096;2,500645089545;1,64095340271889;1,50017525756628;2,1250960522352;2,1201831869148;1,23372150386971;1,55069080741205;1,80374157357207;1,91439029241252;1,7845136420944;2,17744205518642;2,22617600075487;1,73185225261406;2,1021571944784;2,02309085520631;2,29014510496261;1,65400734136101;2,05467915912713;1,35399924974603;1,3391643282524;2,37719271899004;1,77978452314365;1,46977298217194;1,92311880680572;1,50883269144793;2,34411380964305;2,92278665257326;1,81494104009721;1,73535045578902;2,16072292633598;1,80306846637122;1,96391759756784;1,77324291276143;1,53203221124525;2,00396632695146
ENPP4|ENSG00000001561;1,3903265337568;3,08836512981621;2,28699187130593;2,52826486550941;3,83459631462413;1,94508599814955;3,05987572324169;2,41637423853859;1,20827708153755;1,08683979033658;1,69044494097216;1,88498089708722;0,892609853788967;2,21412122565823;0,437643132725993;1,01363846371647;1,05628194552713;2,53805487430203;1,62060792593684;1,68609412901767;2,59805330465013;2,42636925034944;1,88431186310455;4,35745740137756;1,55617985572785;1,80558900488932;2,14355653358606;0,2515218065575;0,357697347084047;1,16661210230468;0,587169792826372;1,71698643213679;1,1902352547345;0,429564956336586;1,63034119168613;1,04498027729084;1,73058223426257;1,67714900831022;2,56211389800444;1,31864731116214;1,00056918273621;0,98396676822106;1,45305682503105;2,69421231490897;2,10625894650326;1,55929930166239;2,35293589521507;2,34108449481996;4,01305064189695;4,27161696070981;4,18570597142495;3,54965610432248;3,7391014780732;3,46552685736393;3,99561397805253;4,04496960754136;3,57436733976855;4,00118611273447;4,28527225767339;3,56759370717602;4,49533728413938;3,46637471960131;3,38512844351231;4,02393767805765;3,29993647974019;3,74388771755791;3,85228513743011;3,66664024673197;3,09738278183448;3,85659587520594;4,12873045349812;4,32800416359308;4,07082768892464;3,93343351943884;3,98816043744991;4,10941399644906;3,78522641152325;3,7381109338956;3,67810832534271;3,42320407243767;4,56917561979366;3,1676857031673;3,79962297992894;4,09677861995362;2,94701038914942;3,95784141507752;3,38240472825053;4,06946995518879;3,77506696960783;4,12479400332881;3,73373432106657;3,78746594344034;3,97976404654172;3,41021662975686;4,3870058003113;4,32310506427703;3,90768372799235;3,88090592519514
CFTR|ENSG00000001626;0,365738999736924;0,598650529147855;0,518063223603249;2,06865646465782;0,0854719202514126;0,362205982787796;0,221282329907806;0,054530922614518;0,208189772774782;0,751475021174396;0,0965207025310791;0,203007388024834;0,0548759271001659;0,145593323046399;0,0588636815950008;0,223301960085357;1,05880698650105;2,07130219487785;0,022391450921267;1,33105467266584;0,89341269333189;0,0591148601946499;1,44563644656836;0,0482842025746897;0,834811412566108;0,957027640980733;2,25426557417957;0,0096484659927891;0,0517374918483136;0,147994585229159;0,0846605191769425;0,844316936775156;0,725659154571581;0,0246287658571494;0,22748748822908;0,184364544759292;0,29140684397612;0,360077167068756;0,76637379601441;0,868216590783112;0,819767401883157;0,0128260784068083;0,111904427674337;1,31795114405198;0,112742380258793;0,26046334968319;0,445184024281434;1,93678867398686;1,88845706493188;2,55697818876733;1,8362552355541;2,52280076990756;3,004480971072;3,54556343680462;1,00276266429941;2,21979687948429;2,44536715666784;2,85094177833278;3,01320962278648;2,98050858650076;2,27454639280895;2,40942039383391;2,18720365281698;2,70141917209511;2,5655828908094;1,8416999824953;2,80504869518825;2,20016420214678;2,28973426595803;1,44213621855465;2,46386498785285;3,09407054455021;2,64938323856675;2,1035752277;2,41449480966956;2,64341245820396;2,34191509899628;1,58265320337243;2,02874191894969;2,83185879560168;2,47579992507824;3,34762412869732;2,75844475894538;2,27781195697764;2,4039395868544;2,15786513084415;2,33998571515116;2,35601770894116;1,95354416264825;2,2451892779002;1,82106298007748;2,80652414227058;2,14565581899618;2,03115085189405;2,18287384745527;2,78222214129652;3,70566505737532;1,82362058175336
TFPI|ENSG00000003436;1,816519350537;4,42110042999608;1,92579936306722;2,79223942739784;2,01935685845463;2,31682352262451;1,0425964247316;3,29973128353691;2,02588308740981;2,88009978080275;1,01025860723014;2,2637676636698;1,85079836155832;0,991755495215495;1,09995820702427;1,88454907238441;4,98306936629433;3,92807168374606;0,990517792523934;3,06937318389399;2,70599020630198;1,01799761749228;2,51580936077435;0,806894138254226;3,84706613427227;2,24863304012919;3,77219371331545;0,861724173007259;0,618589709995367;1,43971039686891;1,20145070096984;4,66235790046627;4,62083187627525;0,729141988185275;2,63820961416385;1,767966621962;2,51529752945838;1,5534065205327;2,55854698491782;2,77278538110541;0,583406682449843;1,26138206449484;1,94777984497343;3,41268372778087;2,06171002412251;1,0748678897703;4,09951129924072;3,35535994133783;3,42387219316978;4,43147675007734;3,60726395248933;4,19343896024964;4,08517287839883;5,01248340978039;4,03493528788975;4,22546219265225;4,43557950928507;4,20546775981253;4,72981323472025;4,41770990650766;4,66479958369414;4,61132029504732;4,02070259703066;4,28368170923979;4,44882326234315;4,56891778518719;4,78602311937025;4,65311213153191;4,03489598135475;4,0716856742763;4,3740106708773;5,12571952944227;4,03737189422895;5,10980566306014;4,07301897181253;4,61974393282413;4,24969720217782;4,61066781142852;4,11386119780851;4,00228184303268;5,3773056301416;4,91089641219935;4,34427010628905;3,92405583639991;4,11689223660905;4,37955527279621;4,27011636726875;4,1456264340354;4,10742334257755;4,08549418443021;4,21708131650633;4,01614606606767;4,07399384390289;4,29539906650053;4,06288274302831;4,84658862883411;5,03991026196639;3,64418576365928
SLC7A2|ENSG00000003989;5,20514951625677;4,98645489988522;3,42184122034512;1,47441781096588;1,61148335881199;1,64646245191887;0,268875366066516;1,90643692414423;0,808645806050559;1,26780015917324;0,173068655790782;1,28602910074502;1,4092712854254;0,372268965192675;0,408473523389732;2,45039161866606;0,565844972195067;2,35906152367727;1,08007401106389;1,56121736902544;1,41068375614706;0,232200368850383;3,46295321192522;0,317545356263255;5,41719418472729;1,71976771840738;0,982595241972926;1,07460637399153;0,146060582963465;3,03149039798114;0,475814961512698;1,50222904404186;0,904477338079638;0,150648986905697;3,33709263640653;2,07583317729052;2,05293940523223;0,538880911147802;1,26584834654396;1,26130334845081;0,314423374604341;2,21195361056663;2,34273066939708;1,00655119518557;1,74427026582373;1,18340486930477;1,48514053462489;2,27593477949657;2,1617547690684;3,62949812846577;3,36581619596856;2,74185327227943;2,42707826136449;3,57343249687404;3,05254742837761;3,14440259937248;1,5790039451502;2,87915787953765;3,57069226481648;3,14688770027964;2,40272821417342;2,65944405290627;2,87947528585511;3,00845262258464;2,86634351596211;3,69127016534931;3,56191757489873;2,7488626303884;3,03476180854296;2,27522895617468;2,92794794845569;2,77220608124893;1,96154859620024;2,91080021667674;3,6250860736178;3,24213430762072;3,33473605482533;2,56440256564656;2,43935967267212;3,66647822579759;4,50891584733085;2,96252852790541;3,95442768830488;2,27211123033719;2,70283477338314;3,04130735484389;3,82935143515956;2,81916863232733;2,63729021073774;4,24205218264585;3,23995837806302;3,18978647656273;2,59295373729834;2,69314040704456;2,88711598949682;2,57447189228571;4,3757393471347;1,97112736296539
FKBP4|ENSG00000004478;5,56313449721977;4,38181987862708;5,69746231676328;4,49594219415493;5,27227522939722;5,67135719231732;5,9515787611606;4,9211659383057;5,8134889514469;6,14337822365134;6,62125908637495;5,8202251197471;4,86312441541744;5,09439610010628;5,07837560353983;3,96424573090347;5,08913783002264;4,99330310881097;5,8555603596881;5,91946611275912;5,05991425459858;4,99631727078513;5,35923766999245;6,26045495616557;6,0538146995332;4,85992338909564;6,57979507479735;5,52954528116196;5,63278132575456;5,87987907360498;5,7354633047634;5,18953393850084;5,72627361281757;4,74241630814914;5,2866419147447;5,94254321809803;4,82062898243705;5,50381157671152;5,21426907411444;4,77257730463953;5,20736378623665;5,92376821147142;5,12515372968757;4,83220161195218;5,76318645782947;6,70488192591867;5,7225678748834;4,84896492924558;3,62467158427747;3,55805696700035;3,68228775139415;3,6901153486613;3,05540574133474;3,42925381801889;3,79278189816233;3,5683603960633;3,27280530947702;3,64343381438798;3,43014932737866;3,82188800883527;3,57935304561203;3,77197420129955;3,31304230056085;3,60241376931801;4,02024479341713;3,30172861548856;3,7927072454631;3,67556947959021;3,10850811751279;3,00023782482315;3,58358263774128;3,63738919821089;3,5884150028184;3,74644284106307;3,0370520232828;3,65518039172301;3,3409858016999;3,4479625010928;3,71874453149325;3,64374345908929;3,15916562137206;3,06521709929559;3,77399058535652;3,62958598083347;3,52813127357307;3,17074574096349;3,4909237872736;3,25807990897329;3,42119243561258;3,53810181777969;3,44876571826493;3,08669763762513;3,43730386480114;3,52252070936759;3,51237358734596;3,32168679902295;3,2311045336332;3,48325672032196
HSPB6|ENSG00000004776;0,695797582308067;1,19450913884971;2,1944114357404;2,76832248142634;2,72835516745807;3,17200147820207;0,621578581653623;0,915850514343966;0,789035418011916;0,818583368981258;0,789605910129881;2,74173833610054;1,67062852353058;1,51145994413998;0,408318576235321;1,49412718161112;0,488515818730075;2,30412423113677;1,17313191827835;0,736955941369555;3,40630652100902;0,490699680283945;1,13692842245327;0,518896451306894;2,41679874058285;2,83033301013292;1,82635473922419;1,47279738838618;0,864082555220216;0,964455201345217;0,727127189170995;1,51137798353183;0,697277421917732;0,476883916242991;0,379622907904026;2,50481301254595;1,9816523077761;0,967686922330867;3,40584236424871;2,10225256923034;0,924454106711646;0,906521595307977;1,01712174240268;2,60481812978025;1,34632113339948;1,22926433499054;1,06464853146884;1,89657702087176;4,64961729379098;4,12459928905088;4,31439729536358;5,25651965573025;4,73589172055401;4,48127449282025;5,75077130957882;3,95581667396151;3,71811768284751;4,30839337721651;3,39852916864343;5,07370014076131;5,15861585080079;4,82711795040043;5,52256137780163;3,94980777239305;5,49421993169923;5,34939949980936;3,84350241853776;4,91320642941747;4,87196082967533;4,76947070953681;4,54090061431985;4,79498166787906;4,27562960374303;6,03635889337825;4,50962286632432;4,87111969763142;4,05163683513353;5,6893885123444;3,83358851968226;5,06897725564046;4,15442565960396;4,84749675111927;5,01985830973982;3,53110015977848;5,01271835368833;4,90682598437718;4,42528007793006;4,62211918243854;5,45185767313054;4,49923450980266;4,72063173473122;4,41272554096562;5,65006044058799;4,49502352064949;4,51408357117368;4,60091215594783;4,24309104178315;4,21259033242434
PDK4|ENSG00000004799;1,92477332894353;3,17094612855128;2,32699206048155;2,50263808486639;1,12143642359964;4,43347662040502;0,845094440451131;1,27412658775162;0,420266281829665;2,12574566570479;0,260282238436167;1,73824174676675;0,604940874841048;4,8880656602611;0,529301582759809;0,713496734504864;1,2604166511688;4,64235088581787;1,11072694430658;1,31889656928585;4,98323902096462;0,624765290427605;0,994959453317401;1,64570260279915;2,12177660189786;2,68099136334668;2,831519012606;0,584528761806465;0,284413985888075;0,757244692240337;0,54164718820737;1,42023668303663;0,800269254464128;0,21423716756136;1,77390352845425;1,15997439904353;1,51472551036412;1,10857873474517;2,60603712938961;1,78406786144024;0,409483792051006;0,655902445380248;1,73806353481163;3,66867051483708;0,916163382029106;0,366554876570322;0,763561695481202;1,85197588493861;3,87266909613865;5,31777276955793;7,25304789130119;5,97381119585108;4,15842444440485;4,45016587445656;7,48018626830163;5,49368321051717;3,77875371224419;4,63731958901702;5,67301367525015;4,63430739075426;5,99841246613199;5,46787345526901;5,80131240239031;4,49550148863105;3,85058232179465;6,24317851713166;5,27727492944005;6,22996021281835;5,10081438675288;6,88205271457541;4,59722280944059;4,60588934395764;4,53256172640268;6,26166201582294;5,83130319186239;5,69558515742475;4,97195239815237;4,71953748947678;4,81055318360621;4,85893684833173;6,86488997126976;4,75493103544934;4,71526411436266;4,56650692054284;3,76979481961528;5,75497326922614;4,05785190018807;4,82818181426158;5,00989850944794;6,17610270288259;4,87172228613989;6,67253406549728;5,37040168933599;4,66577036802322;4,99551350261918;6,58282437592688;4,49585285686119;4,27007478347693
ZMYND10|ENSG00000004838;0,42575869833719;0,366024572869124;0,984301121022822;0,405899022976333;0,935725443579746;1,03368670576091;1,38918147611299;0,210862432684947;0,135549397331607;0,20915523777412;0,864201732727857;0,518398288029881;1,02400074979714;0,223812210673268;0,087397554149185;0,153106425686398;0,0786148954431034;0,955971272086613;0,314624722868069;0,147828114804055;0,464204513939425;0,103059888586135;0,107094287415881;1,4371091446288;0,0556170608759053;0,519531239834346;0,365191134447086;0,0405576763951676;0,116409757600102;0,0554502594032621;0,167949619969359;0,0808049712340365;2,37525127590281;0,0720515901785521;0,227737277915409;0,0945045845302666;0,108452934110248;0,260341450630026;2,03402141391084;0,845644460529307;0,669359809586829;0,394982773643833;0,443424026799588;2,83805375518464;0,316105521216577;0,498248480406377;0,0878250256870886;0,229140149773135;4,60419792564927;1,76549833275585;5,27470336935091;4,42520749576777;2,72551265657352;0,493195449746471;4,07517664607845;4,34603678602559;2,13791909480411;0,417781783689594;0,469010193233768;3,19125068996296;2,05185490895293;0,240114846072941;0,415811704218118;4,25217928259529;1,52048480655589;3,06341045745916;2,53686284874787;3,6460594058864;1,45442208746855;1,3517503622442;2,2604967069212;1,50408872930683;2,49377988367969;3,42062556502202;3,03172252739827;1,32649687662276;3,14725020955579;3,02142364901662;3,11032614975905;2,14964786664361;2,79499156027252;0,414410831895843;0,368031699284069;2,76364125031819;0,581185565622781;1,93391865591678;4,48895029898656;1,76990366459042;1,03888589759699;4,92874639786607;3,75229323310207;2,20526491688694;2,97114188222109;0,350697666647436;4,12263259399359;1,74848499529237;1,09587225414551;4,34895053679803
