gene;ensembl_id;pval;pval_adj;logFC;direction
CA4;ENSG00000167434;8,0032013224127e-32;2,5045611205328e-27;-3,64395900146528;down
GKN2;ENSG00000183607;1,32885588037289e-31;2,5045611205328e-27;-4,20163981570223;down
NOSTRIN;ENSG00000163072;2,18929782050327e-31;2,75085271146235e-27;-2,161194975966;down
VEPH1;ENSG00000197415;9,46683638847176e-31;8,92130994158608e-27;-2,97722111495921;down
TNNC1;ENSG00000114854;1,20516282544319e-30;9,08572254101621e-27;-4,59653896031379;down
TEK;ENSG00000120156;1,48161801385677e-30;9,30826517205518e-27;-2,99547358344443;down
EMCN;ENSG00000164035;1,78889133544148e-30;9,63317984135239e-27;-2,84723882421423;down
CLEC3B;ENSG00000163815;2,50519415082585e-30;1,18041616894225e-26;-4,50444195355581;down
CLDN18;ENSG00000066405;4,43522353272756e-30;1,85761945629073e-26;-6,32317207718345;down
ABCA8;ENSG00000141338;5,5852857007162e-30;2,10537344488497e-26;-2,27095243455189;down
FAM107A;ENSG00000168309;1,40743542583132e-29;4,82302530697378e-26;-4,26972254367001;down
GGTLC1;ENSG00000149435;1,64899635901165e-29;5,17990981274534e-26;-4,23439469800156;down
TCF21;ENSG00000118526;1,87216613982581e-29;5,42856174159492e-26;-2,94619118377795;down
S1PR1;ENSG00000170989;2,19084981737089e-29;5,89886313327113e-26;-3,22092945710832;down
ADGRD1;ENSG00000111452;3,37427469792509e-29;8,47955231588575e-26;-2,25773018597646;down
CDC20;ENSG00000117399;3,73720471295333e-29;8,51859252466451e-26;3,88040307720008;up
ADAMTS8;ENSG00000134917;4,06777199745221e-29;8,51859252466451e-26;-3,16352782832486;down
JAM2;ENSG00000154721;3,97180586193531e-29;8,51859252466451e-26;-2,1856303496881;down
ESAM;ENSG00000149564;4,48018280119877e-29;8,88844687848356e-26;-2,79578103576709;down
LDB2;ENSG00000169744;6,40797039637068e-29;1,20774222045596e-25;-2,58832956633897;down
TPX2;ENSG00000088325;7,14697983144346e-29;1,22457002157392e-25;4,03396173673599;up
INMT;ENSG00000241644;7,12978164993307e-29;1,22457002157392e-25;-4,58620039713455;down
SLC2A1;ENSG00000117394;8,1251631615275e-29;1,33164358858165e-25;4,99450080248782;up
FHL5;ENSG00000112214;9,55599736435429e-29;1,47212661590182e-25;-2,51723914513462;down
CLIC5;ENSG00000112782;1,09350166455103e-28;1,47212661590182e-25;-4,23807880684211;down
MYCT1;ENSG00000120279;1,06527097615302e-28;1,47212661590182e-25;-2,36340407377701;down
PLK1;ENSG00000166851;1,039961758269e-28;1,47212661590182e-25;2,81897320465375;up
ACVRL1;ENSG00000139567;1,28506192893689e-28;1,67035894521641e-25;-2,72897759995694;down
DLC1;ENSG00000164741;1,39951753738776e-28;1,71935260803501e-25;-3,19191091044046;down
SFTA1P;ENSG00000225383;1,41397879955127e-28;1,71935260803501e-25;-4,62089297240055;down
AGER;ENSG00000204305;1,70703349886998e-28;2,010832116872e-25;-7,01517863851324;down
ADGRF5;ENSG00000069122;1,89669108360055e-28;2,10281677636243e-25;-3,59678487408382;down
TMEM88;ENSG00000167874;1,89507566503159e-28;2,10281677636243e-25;-2,19385653955867;down
NCAPH;ENSG00000121152;2,06787159046881e-28;2,12201917644384e-25;2,76982157047721;up
GPM6A;ENSG00000150625;2,06014744960318e-28;2,12201917644384e-25;-2,6575507961949;down
SHE;ENSG00000169291;2,17165234343374e-28;2,12201917644384e-25;-2,15320880496591;down
NPR1;ENSG00000169418;2,30807232349641e-28;2,12201917644384e-25;-2,86516408913981;down
KANK3;ENSG00000186994;2,09480114526395e-28;2,12201917644384e-25;-2,37144967433578;down
ADH1B;ENSG00000196616;2,24403951897496e-28;2,12201917644384e-25;-4,80101027065148;down
AC079630.1;ENSG00000225342;2,28328999855166e-28;2,12201917644384e-25;-2,70901397053033;down
KIF4A;ENSG00000090889;2,4473366993457e-28;2,15509694773161e-25;2,65807197961719;up
UBE2C;ENSG00000175063;2,45839418364396e-28;2,15509694773161e-25;4,12330738870442;up
KIF23;ENSG00000137807;3,20718319344741e-28;2,74760841993182e-25;2,33304841931387;up
PCAT19;ENSG00000267107;3,68001616096124e-28;3,08262687083186e-25;-2,03152842254556;down
CEP55;ENSG00000138180;4,58136395529148e-28;3,75422857162418e-25;3,0024533744114;up
CFP;ENSG00000126759;5,04762941462961e-28;4,04830618690347e-25;-1,6120279899828;down
CDCA5;ENSG00000146670;5,24034377333413e-28;4,11530746949646e-25;2,95165711966351;up
ANLN;ENSG00000011426;5,79724266659172e-28;4,40825634777897e-25;3,17721205228507;up
FOXM1;ENSG00000111206;5,96421471645384e-28;4,40825634777897e-25;3,48575340772605;up
KHDRBS2;ENSG00000112232;5,96234445132727e-28;4,40825634777897e-25;-1,6684111907628;down
SCN7A;ENSG00000136546;6,76890543311919e-28;4,90680558271977e-25;-2,81056190060319;down
PRC1;ENSG00000198901;8,61685591936471e-28;6,1285355449142e-25;2,84373405093783;up
VEGFD;ENSG00000165197;8,810902495731e-28;6,15049943660333e-25;-3,94702384527004;down
SH2D3C;ENSG00000095370;9,23299246865058e-28;6,32795729283243e-25;-2,36934840404828;down
PTPRB;ENSG00000127329;9,77096768586496e-28;6,51030827258773e-25;-2,59299589240734;down
SPAAR;ENSG00000235387;9,8444772924128e-28;6,51030827258773e-25;-1,5917751733413;down
EFCC1;ENSG00000114654;1,04922612654736e-27;6,81906531727633e-25;-2,43261783089453;down
CD302;ENSG00000241399;1,25480017497397e-27;8,01689705010914e-25;-2,15849763019881;down
CYP2B7P;ENSG00000256612;1,64992494614396e-27;1,03656534741494e-24;-4,09225329257865;down
SLC51B;ENSG00000186198;1,98671800299734e-27;1,22769401840958e-24;-2,04459761912577;down
AK1;ENSG00000106992;2,1973972733171e-27;1,29423265965138e-24;-2,00567707969142;down
CCNB1;ENSG00000134057;2,14215538574118e-27;1,29423265965138e-24;3,05694316148389;up
EDNRB;ENSG00000136160;2,17673678938839e-27;1,29423265965138e-24;-3,54588847498285;down
PGM5;ENSG00000154330;2,77774688864768e-27;1,61087952257806e-24;-1,99741244769083;down
USHBP1;ENSG00000130307;3,31686732692117e-27;1,89438354376202e-24;-1,36904034558761;down
MYBL2;ENSG00000101057;3,53077094732332e-27;1,94913957426042e-24;3,94312637113513;up
LHFPL3-AS2;ENSG00000225329;3,56786392423316e-27;1,94913957426042e-24;-2,88295288902456;down
ECSCR;ENSG00000249751;3,5281550136837e-27;1,94913957426042e-24;-2,37619533454897;down
DLGAP5;ENSG00000126787;3,73480678095508e-27;1,998294118135e-24;2,78348993459847;up
RGN;ENSG00000130988;3,76386476688115e-27;1,998294118135e-24;-1,87800805712104;down
ARHGEF15;ENSG00000198844;4,0836615581021e-27;2,10867975935149e-24;-2,34707642687912;down
AL109741.1;ENSG00000225938;4,0547590521475e-27;2,10867975935149e-24;-1,38672269687946;down
BIRC5;ENSG00000089685;4,59562784039077e-27;2,34097556004771e-24;3,49549137871872;up
SLC39A8;ENSG00000138821;4,69231073776798e-27;2,35835537680219e-24;-3,54137089258949;down
RAMP2;ENSG00000131477;6,21035145455597e-27;3,04024932570763e-24;-2,90436785132079;down
NDNF;ENSG00000173376;6,17301716191136e-27;3,04024932570763e-24;-4,16469113643975;down
CCNB2;ENSG00000157456;6,6422920651564e-27;3,2100153768727e-24;3,10943216220145;up
AL136452.1;ENSG00000228997;7,12818608959555e-27;3,40122752718107e-24;-1,64244661880675;down
RASGRP4;ENSG00000171777;7,83326699496466e-27;3,69093749218991e-24;-1,41730129170908;down
PLA2G1B;ENSG00000170890;8,36553087943374e-27;3,89307020370685e-24;-3,87219738133045;down
SUSD2;ENSG00000099994;9,10685708085005e-27;4,18637777637369e-24;-4,42947015452927;down
SKA1;ENSG00000154839;9,70501901471087e-27;4,40759869589791e-24;2,19264030781057;up
ROBO4;ENSG00000154133;1,02251501308692e-26;4,58853612122754e-24;-2,82288561406312;down
FHL1;ENSG00000022267;1,11233904364025e-26;4,87553723837434e-24;-3,51547513836075;down
GPX3;ENSG00000211445;1,11153562787949e-26;4,87553723837434e-24;-3,5886783195511;down
CACNA2D2;ENSG00000007402;1,17004588583842e-26;5,06952639846889e-24;-4,04192612944649;down
CCNA2;ENSG00000145386;1,27733905044495e-26;5,47151085301389e-24;2,91295704780465;up
HSPB6;ENSG00000004776;1,36766221544732e-26;5,79258732711085e-24;-3,12799037348455;down
DES;ENSG00000175084;1,40215188827845e-26;5,8726794920729e-24;-3,90473600219683;down
F11;ENSG00000088926;1,43827841780728e-26;5,95779175376324e-24;-1,59736642379072;down
ITGA8;ENSG00000077943;1,59385974599839e-26;6,53049381797926e-24;-2,42719214663219;down
TRIP13;ENSG00000071539;1,83157179774404e-26;7,4237740769851e-24;2,83667732647795;up
HIGD1B;ENSG00000131097;1,93829680379533e-26;7,77277638500692e-24;-2,99986175586884;down
